objectno	envelope	oldobjectno	objecttype	description	notes	dimensions	imagenotes	imagename	imagecomments	imageexists	imagetype	imagedesc
1285	14 #7 6	3.1316	Sheng head	Sheng head. Lao wu sheng rebel officer (?) Black highly decorated and cut shamao in yellow, green, black, grey, pink, red and blue. 2 large red pompoms, natural furs and twin pheasant feathers; ciguye, central ornament. Black open cut face, long, black diao da 吊搭 style beard; red lips. No lacquer.	Hat is variation of 1268, 1278, 1281, 1282, no filigree.	H:		DSCN2978.JPG	1283, 1284, 1285	YES		
1286	14 #7 6	3.1317	Chou head	Chou head. 小丑 xiao chou rebel king. Crown, red with green cut edge, red tassel, black back cloth, twin pheasant feathers, natural furs. 2 large red pompoms, ciguye 慈菇葉, diadem, ezi 額子. Flesh face, triangle black eye and marks on nose and corners of red, open mouth, teeth, tongue; lacquered natural neck.	Similar crown to 1284.	H:		DSCN2979.JPG	1286, 1287, 1288	YES		
1287	14 #7 6	3.1318	Jing head	Jing head. Lao wen jing, rebel king. Color scheme of crown and headdress almost same as 1261 but for 4 small blue pompoms on diadem, ezi 額子. Yellow painted face with red mark on brow to nose, heavy black eyee and brow, white stripe, full black manran, natural unlacquered neck and ear. Note effect of thicker skin on fur end, also brighter colors on head.	See 1261, 1265, 1269, 1283, 1287.	H:		DSCN2979.JPG|DSCN2980.JPG	1286, 1287, 1288|1287	YES|NO		
1288	14 #7 7	3.1319	Sheng head	Sheng head. Lao wu sheng. Rebel official. Same style shamao as 1268 and others. Cut blue, grey, green, red, natural; furs. 2 large yellow pompoms, central ornament and ciguye 慈菇葉. Natural white open cut face with full filigree white natural manran 滿髯. Very lightly lacquered neck.	Damage: pink discoloration. Old object number 3.1319.	H:		DSCN2979.JPG	1286, 1287, 1288	YES		
1289	14 #7 7	3.1320	Jing head	Jing head. Lao wu jing rebel. Helmet: black with yellow, blue-green, grey, red, natural cut decorations. 1 small each red, blue-green pompoms atop mirror lightning bolts, 1 large each red, blue-green, pompoms, twin pheasant feathers and natural furs. Diadem, ezi 額子, ciguye 慈菇葉. Light lacquer on natural neck. Red painted face with black brow and white stripe, smug expression on red lips; long black cut diao da 吊搭.	Helmet is a variation of 944 shamao and 1260.	H:		DSCN2981.JPG	1289, 1290, 1291	YES		
1290	14 #7 7	3.1321	Creature head	Tiger head. Black tiger spirit general. Similar to other headdresses; ciguye 慈菇葉, tails, feathers. Tiger helmet is grey with cut black stripes; smiling closed red rubber lips on black cut tiger painted face, white stripe mars, grey around crescent down looking eye; pink ear; natural neck unlacquered.	See 978, 1175, 1279.	H:		DSCN2981.JPG|DSCN2983.JPG	1289, 1290, 1291|1290	YES|NO		
1291	14 #7 7	3.1322	Jing head	Jing head. Lao wen jing rebel official. Same square shamao as 1276 except 2 large pompoms are white here and maker forgot to finish painting black stripes on one pheasant feather. Same maker, same face but beard is natural white.	See 1267, 1276.	H:		DSCN2981.JPG|DSCN2982.JPG	1289, 1290, 1291|1291	YES|NO		
1292	14 #7 7	3.1323	Jing head	Jing head. Jing rebel official. Same headdress or crown as 1259 but crown here is black with green edge on yellow cut decorations. Red, frowning painted face with cut black and grey edge of downcast red rubbery, closed lips. Heavy black eye, white streak, flesh ear, natural neck. Lacquered.	See 1259.	H:		DSCN2984.JPG	1292, 1293, 1294	YES		
1293	14 #7 7	3.1324	Jing head	Jing head. Lao wen jing low official. 3/4 view of back of shamao. Blue tone flowers on natural white ground, green edge, red tassel; prifile green tiger, 2 small red pompoms on diadem, ezi 額子; 1 large red pompom above central cut ornament. 2 natural bolts, red short back ribbon and short ribbon at flesh ea. White and blush painted face, black pate and chou san 丑三, natural neck, very light lacquer if at all. NOTE: Characters on neck could read Fa xian 法仙.		H:		DSCN2984.JPG	1292, 1293, 1294	YES		
1294	14 #7 8	3.1325	Jing head	Jing head. Lao wu jing rebel commander or general. Shuai kui 帥盔. See description for 945. Bell shaped filigree natural helmet with pointed spike adorned with red tassel; diadem, ezi 額子, with central emblem and ciguye 慈菇葉, profile blue dragon climbing back toward large red pompom. Blue green edge diadem with same large pompom flower on back cloth; red, pink, green, black. Natural furs and twin pheasant feathers. Red painted face with heavy black eye, white streak, full manran 滿髯 cleverly attached with 3 plugs at time of making. Light lacquer.		H:		DSCN2984.JPG	1292, 1293, 1294	YES		
1295	14 #7 8	3.1326	Jing head	Jing head. Wu jing rebel demon commander. Black cut filigree decorated shamao in yellow, blue-green, red, blue. 1 each large green and red pompoms. Central ornament and ciguye 慈菇葉. Red pate, blue-green, angry looking striped cut painted face in red, pink; highly stylized black eye, white or natural oulined downcast closed red rubber lips. Light lacquer on natural neck. See 944.		H:		DSCN2985.JPG	1295, 1296, 1297	YES		
1296	14 #7 8	3.1327	Jing head	Jing head. Jing rebel official. Same headdress as 1292; all colors but crown is red here; blue highly cut and colored painted face, red, natural, black, stylized scalloped black eye; downcast red rubbery closed lips. Lacquered natural neck.	See 1259, 1292.	H:		DSCN2985.JPG	1295, 1296, 1297	YES		
1297	14 #7 8	3.1328	Jing head	Jing head. Wu jing rebel demon commander. Blue-green and decorated, cut filigree shamao in yellow, red, grey, natural; 2 large red pompoms, ciguye 慈菇葉, twin pheasant feathers, natural furs. Lively painted face in black and white, blush; stylized eye, tufted yi zi 一字 mutton chop, pointed stachio and soul patch; natural light lacquer on neck. Kiss band member.	Old object number 3.1328. Pink discoloration on neck.	H:		DSCN2985.JPG	1295, 1296, 1297	YES		
1298	14 #7 8	3.1329	Jing head	Jing head. Lao wen jing rebel king. Similar to 1261. Black crown, cut red flowers, 8 alternating small red and blue pompoms. Diadem, ezi 額子, with ornate central emblem, twin pheasant feathers, 2 large red pompoms, neck protector, natural furs. White painted face with prominent red stripe from forehead to nose tip, black brow and heavy black eye with pink perforated teardrop on cheek; full black manran 滿髯. Light or no lacquer on natural neck.	See 1261, 1262 and others. Same maker as 1261.	H:		DSCN2986.JPG|DSCN2988.JPG	1298, 1299, 1300|1298	YES|NO		
1299	14 #7 8	3.1330	Chou head	Chou head. Lao chou jilin or spirit rebel? Large head of a qilin? And filigree scales, 2 long whiskers with 2 small blue-green pompoms on either side of the large red pompom; pheasant feathers and natural furs. Blue-green fillet with central emblem and large red pompom, close fitting black cap with cut yellow waves and flowers in red, natural and blue-green with green edged red upward cloth at back.		H:		DSCN2986.JPG|DSCN2987.JPG	1298, 1299, 1300|1299	YES|NO		
1300	14 #7 8	3.1331	Chou head	Chou head. Wu chou rebel commander. Blue-green shamao with cut filigree and flower decorations in grey, pink and black; blue-green fillet and central ornament, 1 large red pompom, ciguye 慈菇葉, cut curl at back of diadem, ezi 額子, near twin pheasant feathers and natural furs. Open cut black face with horizontal black stachio, short pointed beard and soul patch, black pate; light lacquer on natural neck.	Variation of 944 and others.	H:		DSCN2986.JPG|DSCN2989.JPG	1298, 1299, 1300|1300	YES|NO		
1301	14 #8 1	3.1332	Dan head	Dan head. Dan. Wu. Open cut face, black fringe bangs. Small ornamented crown, ciguye 慈菇葉 front diadem, ezi 額子, tassels at ear, many pompoms; pheasant feathers; back cloth. Red, green, black, natural color. Lacquer.		H:		DSCN4515.JPG	1301, 1302, 1303	YES		
