objectno	envelope	oldobjectno	objecttype	description	notes	dimensions	imagenotes	imagename	imagecomments	imageexists	imagetype	imagedesc
76	92	1.76	Dan head	Dan head. Dan. Natural flesh face, blush. Red wind cap 風帽 concealing crown. Natural and green textile underside. Red to pink flower and leaves, red tassel at ear partially visible beneath wind cap.		H:		DSCN5576.JPG	75, 76, 77	YES		
77	92	1.77	Jing head	Jing head. Wu jing. Red painted face, natural, black highlights; full black opera-style beard and stachios cover mouth. Plug attaches beard at time of making. Red wind cap 風帽. Red close fitting, patterned edge, dark back tie; ciguye 慈菇葉 black martial arrow.		H:		DSCN5576.JPG	75, 76, 77	YES		
78	92	1.78	Jing head	Jing head. Wu jing. Black painted face, natural, black highlights; full black opera-style beard and stachios cover mouth. 3 plugs attach beard at time of making. Red wind cap 風帽. Red close fitting, pattern edge, green back tie; ciguye 慈菇葉 martial arrow.		H:		DSCN5577.JPG	78, 79, 80	YES		
79	92	1.79	Chou head	Chou head. Chou. Flesh face, black highlights near clown patch; triangle eye; black edged smiling red lips, teeth. Red close fitting wind cap 風帽, flower pattern edge,back pleats; green back tie.		H:		DSCN5577.JPG	78, 79, 80	YES		
80	92	1.80	Sheng head	Sheng head. Sheng official. Black open cut face; long black stachios and beard strands. Red wind cap 風帽 concealing black gauze shamao 紗帽 hat. Oblong decorated fin visible at ear. Lacquer.	Somewhat worn. See 81.	H:		DSCN5577.JPG	78, 79, 80	YES		
81	92	1.81	Sheng head	Sheng head. Lao sheng official. Natural open cut face; long natural stachios and beard strands. Red wind cap 風帽 concealing shamao black gauze hat, oblong fin visible at ear. Lacquer.	See 80.	H:		DSCN5578.JPG	81, 82, 83	YES		
82	92	1.82	Jing head	Jing head. Lao jing. White painted face, blush, heavy black brow and eye; full grey opera beard covers mouth; grey achieved by very thin, painted black lines. Redclose fitting wind cap 風帽, pattern edge, green back tie. Lacquer.		H:		DSCN5578.JPG	81, 82, 83	YES		
83	92	1.83	Chou head	Chou head. Chou. Flesh face, blush, black marks, swoosh brow and triangle eye; black 'ba' 八 stachios, soul patch, short pointed beard. Red close fitting wind cap 風帽, cut flower pattern edge, soft pleats; blue back tie. Lacquer.		H:		DSCN5578.JPG	81, 82, 83	YES		
84	92	1.84	Chou head	Chou head. Chou official. Black open cut face; amused clown eye; black ‘ba’ 八 stachios, soul patch, and beard. Rumpled red wind cap 風帽 concealing shamao sitting forward on brow. Lacquer.		H:		DSCN5579.JPG	84, 85, 86	YES		
85	92	1.85	Sheng head	Sheng head. Wu sheng. Black open cut face, long black stachios and beard strands end in points. Red close fitting wind cap 風帽, cut patterned edge, green back tie; 2 small pompoms on martial arrow, ciguye 慈菇葉. Lacquer.		H:		DSCN5579.JPG	84, 85, 86	YES		
86	92	1.86	Jing head	Jing head. Wu jing. Red painted face, natural, black highlights; full black opera-style beard and stachios cover mouth. 3 plugs attach beard at time of making. Red close fitting wind cap 風帽, cut pattern edge, green back tie; black martial arrow ciguye 慈菇葉.		H:		DSCN5579.JPG	84, 85, 86	YES		
87	92	1.87	Chou head	Chou head. Wu lao chou. Flesh tone painted face, black cut swoosh and wrinkles; triangle eye but no real clown patch; full grey opera-style beard and stachios cover mouth; grey achieved by very thin, painted black lines. 3 plugs attach beard at time of making. Red close fitting wind cap 風帽, cut pattern edge, blue back tie; black martial arrow ciguye 慈菇葉.	Same face style as 88.	H:		DSCN5580.JPG	87, 88, 89	YES		
88	92	1.88	Chou head	Chou head. Wu chou. White painted face, black cut swoosh and wrinkles; triangle eye but no real clown patch; full black opera-style beard and stachios cover mouth. Red close fitting wind cap 風帽, cut pattern edge, blue back tie; black martial arrow ciguye 慈菇葉.	Same face style as 87.	H:		DSCN5580.JPG	87, 88, 89	YES		
89	92	1.89	Chou head	Chou head. Wu chou. Wind cap 風帽. Red close fitting, cut pattern edge, blue back tie; ciguye 慈菇葉. Flesh face, black cut swoosh brow; clown patch over nose, triangle eye; black edged red lips, teeth. Lacquer.		H:		DSCN5580.JPG	87, 88, 89	YES		
90	92	1.90	Jing head	Jing head. Wu jing. White painted face, black stylized eye and forehead; black stachio into long, pointed sideburn-beard, soul patch; red lips, teeth. Red close fitting wind cap 風帽, cut pattern edge, green back tie; black martial arrow ciguye 慈菇葉. Light lacquer.		H:		DSCN5581.JPG|DSCN5582.JPG	90, 91, 92|90, 91, 92	YES|NO		
91	92	1.91	Jing head	Jing head. Wu jing. Pink blush, painted face, grey stylized brow over heavy black stylized eye and forehead; black stachio into muttonchop style sideburn-beard, soul patch; red lips, teeth. Red close fitting wind cap 風帽, cut pattern edge, green back tie; black martial arrow ciguye 慈菇葉. Light lacquer.		H:		DSCN5581.JPG|DSCN5582.JPG	90, 91, 92|90, 91, 92	YES|NO		
92	92	1.92	Jing head	Jing head. Wu jing. Blue painted face, white, red, green cut marks, heavy scalloped stylized eye and forehead; red stachio into long, pointed sideburn-beard, soul patch; red lips, teeth. Red close fitting wind cap 風帽, cut pattern edge, green back tie; black martial arrow ciguye 慈菇葉. Kiss band member. Light lacquer.		H:		DSCN5581.JPG|DSCN5582.JPG	90, 91, 92|90, 91, 92	YES|NO		
93	92	1.93	Jing head	Jing head. Wu jing. Demon. Green painted face, natural white, red, black highlights; black stylized eye; teeth. Red to pink ear tuft; heavy red pointed beard, stachio, soul patch. Red close fitting wind cap feng mao 風帽, cut pattern edge, green back tie; black martial arrow ciguye 慈菇葉. Kiss band member. Lacquer.		H:		DSCN5583.JPG|DSCN5584.JPG	93, 94, 95|93, 94, 95	YES|NO		
94	92	1.94	Chou head	Chou head. Chou. Open cut face with spectacles forming a kind of clown patch. Lively eye. Long thin black opera style stachio and sideburn ends in points; attached above ear. Red lips, teeth visible. Tall square black shamao, with cut rosette on top facet, sits precariously far back on head; green circlet, red short ribbon ties at nape. Barely visible black marking on neck almost seems like a character.	Imaginative and comical. Could be a family tutor or old servant, possibly a eunuch. Broman shows similar hat, jia ren jin 家人巾, worn by 'domestics'. See p. 133, item 299:1 is more ornate, but same tall shape.	H:		DSCN5583.JPG|DSCN5584.JPG	93, 94, 95|93, 94, 95	YES|NO		
95	92	1.95	Chou head	Chou head. Lao chou. Pink flesh face, red lips; natural white filigree pointed beard below jawline, brow, horizontal stachios, upward pointed soul patch. Small cap in black, green cut edging of repeat lobes, small red ornament at center of square top; short red ribbon ties at nape. No lacquer.		H:		DSCN5583.JPG|DSCN5584.JPG	93, 94, 95|93, 94, 95	YES|NO		
96	92	1.96	Chou head	Chou head. Chou. Pockmarks, mazi 麻子, cut into mishappen flesh face. Smiling red lips, teeth. Black brow, eye, close cut hair. Shamao hat sits forward on brow; multiple style cut shapes in red, natural, black, green, grey. Green circlet with natural front emblem; short red ribbon ties at nape. No lacquer.		H:		DSCN3620.JPG	96, 97	YES		
97	92	1.97	Chou head	Chou head. Chou. Domestic. Open cut face; lively eye in round clown patch; teeth, red lip visible under horiz black stachios. Black brow, soul patch, pointed beard from chin. Tall square black shamao bends forward on head. Cut rosette on top facet, half pink to red flower, leaves visitlbe at back; green circlet; short red ribbon ties loosely bound black hair at nape.	Compare 94. Broman shows similar hat, jia ren jin 家人巾, worn by 'domestics'. See p. 133, item 299:1 is more ornate, but same tall shape.	H:		DSCN3620.JPG	96, 97	YES		
98	92	1.98	Creature head	Gui demon head. Demon. Gui 鬼. ¾ grey face, tufted black brows, stachios, soul patch, ear tufts. Red lips, teeth. Red cut square emblem at front of grey tall soft cloth hat with twin hinged swinging long black ties at back. No lacquer.	Same style face as 99.	H:		DSCN3621.JPG	98, 99	YES		
99	92	1.99	Creature head	Gui demon head. Demon. ¾ dirty red to pink tone face, tufted grey to natural brows, stachios, soul patch, ear tufts. Red lips, teeth. Natural cut square emblem at front of black tall soft cloth hat. No laquer.	Same style face as 98.	H:		DSCN3621.JPG	98, 99	YES		
100	92	1.100b	Male body	Informal robe, boy body. boy body. Maroon close fitting sleeved lapel robe over red pants tucked into black platform boots. Green cuffs, natural sash ties front. Block hands; 3 rods.	"Pencil note:"" 男童紫青箭衣 乙件 山西唐 [? or 小西唐 ?] p.4.a."" Pencil note is same as Chinese catalog 4a3上 but the catalog entry does not include the name of the play."	h: 6-6 ¼ ; arm ext 4 ¼ - ½; neck rods 10 ¾ - 11; hand rods 9 ¼ - ½ .		DSCN4210.JPG	100	YES		
101	92	1.101b	Male body	Hero, boy body. boy body. Officer. Pink wide sleeved lapel robe with black peonies over red pants; boots in form of fish and butterfly; fists; Note: neck rod has detached from figure. 2 hand rods with string.	"Pencil note: “男童踢氅貳件 [-?][-?] 山西唐; p. 4a” Corresponds to Ch. Cat. 4a 3下: ""男童彩[?]黑踢氅弍件""."	h: 6-6 ¼ ; arm ext 4 ¼ - ½; neck rods 10 ¾ - 11; hand rods 9 ¼ - ½ .		DSCN4209.JPG|DSCN4209.JPG	100, 101|100, 101	YES|YES		
102	92	1.102b	Male body	Hero, boy body. boy body. Officer. Wide sleeve robe; black ground with natural white flowers; open at front with black, close sleeved, front button jacket and grey pants tucked into black boots, blue deco; fist hands, one holds vertical tablet; detached at one sleeve cuff; 3 rods		h: 6-6 ¼ ; arm ext 4 ¼ - ½; neck rods 10 ¾ - 11; hand rods 9 ¼ - ½ .		DSCN4211.JPG	102	YES		
103	86	1.103b	Male body	Military, male body. Officer. Embroidered red dragon robe, close sleeves, dragon chest, colored waves; red balloon pants tucked into black platform boots; block hands; 3 rods.	"See also 125, 142. If note is correctly correlated, then this is the body for a military general. See Simon p 83 ex 68, jianyi kaotui 箭衣靠退. Pencil note: ""紅綠藍彩[?]龍箭衣 四件 大武將"" Corresponds with Ch. Cat. 2a 4下: ""紅綠藍彩[?]各色龍箭衣 四件"". Envelope #86. Old Object #1.103b."	h: 8 ¼; arm ext 5 ½;		DSCN4300.JPG	103, 125, 142	YES		
104	86	1.104b	Male body	Naked torso, male body. Naked flesh torso, black pantaloons, black boots with butterfly, turquoise deco; carved fists. 3 rods.	"See Simon p 80, 81 ex 44, guang shen 光身. See Broman p 108, 109 ex 200, 206, both wu ren yi 武人衣. See also 145, 362, 365, 371. Pencil note: ""赤背絲[?]褲衣 四件 打-[?] P.2a"". Corresponds with Ch. Cat. 2a 7上: ""赤背彩[?]褲衣 四件"". Envelope #86. Old Object #1.104b."	h: 8 ½; arm ext 5 ½.		DSCN4307.JPG	104	YES		
105	86	1.105b	Male body	Military, male body. Natural white robe, black edge lapels, pleated back shows red lining; close sleeves green cuffs, natural waist sash ties front; black pantaloons tuck into black platform boots; fists; 3 rods.	See also 248. See Simon p 83 ex 68, jianyi kaotui 箭衣靠退. See Broman, p.111 for object 219, 女提氅 on unpaginated color images but has no comparable image for male military figure. Note: fading noticeable at rounded cuffs; Envelope #86. Old Object #1.105b.	h: 8 ¼; arm ext 5 ½.		DSCN4304.JPG	105, 248	YES		
106	86	1.106	Creature head	White Snake, head. Mme White Snake head. Open cut face. Simple natural white head band with white fan shapes at ear and crest; white snake red tongue appears over meifa 美髮 sticks in chignon; small earring; black mesh extensions front and back.	Note: front one is bent. Head 106 already inserted in body 107, however Mme White Snake does may not wear crane roundel garb.	H: head: 4 ¼ w 3.		DSCN4249.JPG|DSCN4250.JPG	106, 107|106	YES|YES		
107	86	1.107b	Female body	White Snake, body. Dan. 3/4 length natural white 皮 or 帔 gown with cut crane roundels on wide sleeves cuffs and torso. Multi color deco on pleated under skirt; red lotus shoes, bound feet, block hands. 2 rods.	Note: Missing one hand rod. Shown with 106 head, but probably goes with lao dan celebrating her longevity.	H: body: 7 ¾ ; arm ext 5 ½; neck rods 10 – 12 ¼; hand rods 9 ½-10 ½;		DSCN4249.JPG	106, 107	YES		
108	88	1.108b	Female body	Gentry, female body. Dan. 3/4 length, wide sleeve, greenish 皮 or 帔 gown deco with cut red peony branches, cut tippet, natural color front placket; pleated skirt to ankles; bound feet, lotus shoes; block hands. 3 rods.	"See 109. Pencil note: ""正旦夫人小姐 妃色黃？紅？豆青藍？黑？女披[or do they mean 帔]十五件"". Corresponds with Ch. Cat. 3a 7上 but adds ""各色"" and writes 15 as ""拾五""."	h: 8 ¼, arms ext 5 ¼; neck rod 11 ½, hand rods 9 ½.		DSCN3774.JPG	108, 109	YES		
109	88	1.109b	Female body	Gentry, female body. Dan. 3/4 length, wide sleeve, rose color 皮 or 帔 gown with cut, green, blue peony branches; block hands; cut tippet, natural color front placket, pleated green skirt; bound feet, lotus shoes. 3 rods.	See 108.	h: all same as above		DSCN3774.JPG	108, 109	YES		
110	88	1.110b	Female body	Gentry, female body. Dan. 3/4 length 皮 or 帔 gown over pleated skirt. Robe black ground, large cut crane roundels, wide sleeve, natural color front placket, block hands; black skirt, bound feet, lotus shoes; 3 rods.	See 175.	h: same as above		DSCN3777.JPG	110, 175	YES		
111	88	1.111b	Female body	Gentry, female body. Dan. 3/4 length pei 皮 or 帔 gown over pleated skirt. Robe black ground, small cut crane roundels, wide sleeves, deco crane roundels on cuff; natural color front placket; block hands; deco skirt, bound feet, lotus shoes. Red, blue, green, natural. 2 rods.	Ornate. Damage: 1 hand rod missing; 1 hand rod detached but labeled.	H: same as above		DSCN3778.JPG	111	YES		
112	88	1.112b	Female body	Black gown, female body. Dan. 3/4 length 皮 or 帔 gown over pleated skirt. Robe black ground, white repeat border deco, blue trim, wide sleeves, block hands; natural white skirt, bound feet, lotus shoes.	See 113. Envelope #88. Old Object #1.112b. See Broman pp 112, 113 ex 228-230, qingyi 青衣.	H: same as above		DSCN3782.JPG	112, 113	YES		
113	88	1.113b	Female body	Black gown, female body. Dan. 3/4 length 皮 or 帔 gown over pleated skirt. Robe black ground, white repeat border deco, blue trim, wide sleeves, block hands; natural white skirt, bound feet, lotus shoes.	See 112. 1 extra neck rod. Envelope #88. Old Object #1.113b. Envelope #88. Old Object #1.112b. See Broman pp 112, 113 ex 228-230, qingyi 青衣.	H: same as above		DSCN3782.JPG	112, 113	YES		
114	81	1.114	Jing head	Jing head. Jing. Rebel commander. Pink, white, black painted face, yellow accents; full black beard covers mouth. Almost undetected 4 plugs attach beard length then painted. Za jin 紮巾 Helmet, 2 pheasant feathers, ciguye 慈菇葉 martial arrow with 3 green, 2 red small pompom decos; 3 rows small blue pompoms, red, green, blue, pink, yellow decos; 2 natural white furs extend back. No lacquer.		H: 5 ½ x 4 ¼.		DSCN5585.JPG	114, 115	YES		
